ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
1;PRC;Health;Health;First Aid;PH041000000;;;Finished;1;individual
2;PRC;Health;Health;First Aid;PH051600000;PH051612000;;Finished;1;individual
3;PRC;Health;Health;First Aid;PH056200000;;Balogo;Finished;1;individual
4;PRC;Health;Health;Patient Transportation;PH050500000;PH050504000;San Francisco;Finished;1;individual
5;PRC;Health;Health;Patient Transportation;PH041000000;;;Finished;1;individual
6;PRC;Welfare;Welfare;Tracing;PH050500000;PH050514000;Balinad;Finished;1;individual
7;PRC;Welfare;Welfare;Welfare Desk;PH050500000;PH050504000;;Finished;1;unit
8;PRC;Welfare;Welfare;Welfare Desk;PH050500000;PH050505000;;Finished;1;unit
9;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056207000;Brgy Ogod;Finished;1;unit
10;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056207000;Brgy Ogod;Finished;1;unit
11;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056207000;Brgy Rawis;Finished;1;unit
12;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056209000;;Finished;1;unit
13;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056211000;Aguada North;Finished;1;unit
14;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056211000;Cawit Extension;Finished;1;unit
15;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056212000;Brgy Banuang Daan;Finished;1;unit
16;PRC;Welfare;Welfare;Welfare Desk;PH056200000;PH056215000;San Sebastian;Finished;1;unit
17;PRC;Welfare;Welfare;Child Friendly Activities;PH056200000;PH056212000;Brgy Banuang Daan;Finished;2;individuals
18;PRC;Health;Health;First Aid;PH054100000;;;Finished;2;individual
19;IFRC;Relief;Non Food Items;Hygiene Kit;PH056200000;PH056203000;Cadandanan;Finished;2;families
20;IFRC;WASH;WASH;Hygiene Promotion;PH056200000;PH056203000;Cadandanan;Finished;2;individuals
21;IFRC;Relief;Non Food Items;Jerry Can;PH056200000;PH056203000;Cadandanan;Finished;2;families
22;PRC;Welfare;Welfare;Psychological First Aid;PH052000000;;;Finished;2;individuals
23;PRC;Welfare;Welfare;Psychological First Aid;PH054100000;;Espinosa;Finished;2;individuals
24;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056215000;San Sebastian;Finished;2;individuals
25;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH056200000;PH056203000;Cadandanan;Finished;2;families
26;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH056200000;PH056203000;Cadandanan;Finished;2;families
27;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH056200000;PH056203000;Cadandanan;Finished;2;families
28;PRC;Welfare;Welfare;Tracing;PH050500000;PH050513000;Basicao;Finished;2;individuals
29;PRC;Welfare;Welfare;Tracing;PH056200000;PH056211000;Aguada North;Finished;2;individuals
30;PRC;Welfare;Welfare;Tracing;PH056200000;PH056215000;San Sebastian;Finished;2;individuals
31;PRC;Health;Health;Blood Pressure;PH056200000;;;Finished;4;individuals
32;IFRC;Relief;Non Food Items;Hygiene Kit;PH056200000;PH056203000;Roxas;Finished;4;families
33;IFRC;WASH;WASH;Hygiene Promotion;PH056200000;PH056203000;Roxas;Finished;4;individuals
34;IFRC;Relief;Non Food Items;Jerry Can;PH056200000;PH056203000;Roxas;Finished;4;families
35;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056209000;;Finished;4;individuals
36;GRC;Relief;Shelter;Shelter Strengthening Kit;PH051600000;PH051607000;Brgy. 3;Finished;4;families
37;GRC;Relief;Shelter;Shelter Strengthening Kit;PH051600000;PH051607000;Brgy. 6;Finished;4;families
38;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH056200000;PH056203000;Roxas;Finished;4;families
39;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH056200000;PH056203000;Roxas;Finished;4;families
40;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH056200000;PH056203000;Roxas;Finished;4;families
41;PRC;Welfare;Welfare;Child Friendly Activities;PH056200000;PH056207000;Brgy Ogod;Finished;6;individuals
42;IFRC;Relief;Non Food Items;Hygiene Kit;PH056200000;PH056203000;Cocok- Caditan;Finished;6;families
43;IFRC;WASH;WASH;Hygiene Promotion;PH056200000;PH056203000;Cocok- Caditan;Finished;6;individuals
44;IFRC;Relief;Non Food Items;Jerry Can;PH056200000;PH056203000;Cocok- Caditan;Finished;6;families
45;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056212000;Brgy Banuang Daan;Finished;6;individuals
46;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH056200000;PH056203000;Cocok- Caditan;Finished;6;families
47;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH056200000;PH056203000;Cocok- Caditan;Finished;6;families
48;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH056200000;PH056203000;Cocok- Caditan;Finished;6;families
49;PRC;Health;Health;Blood Pressure;PH051600000;PH051612000;;Finished;7;individuals
50;IFRC;Relief;Non Food Items;Hygiene Kit;PH050500000;PH050513000;3;Finished;7;families
51;IFRC;Relief;Non Food Items;Jerry Can;PH050500000;PH050513000;3;Finished;7;families
52;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH050500000;PH050513000;3;Finished;7;families
53;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH050500000;PH050513000;3;Finished;7;families
54;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH050500000;PH050513000;3;Finished;7;families
55;IFRC;Relief;Shelter;Tarpaulin;PH050500000;PH050513000;3;Finished;7;families
56;PRC;Welfare;Welfare;Psychological First Aid;PH051700000;PH051709000;;Finished;8;individuals
57;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056212000;Brgy Gadgaron;Finished;8;individuals
58;IFRC;Relief;Non Food Items;Hygiene Kit;PH056200000;PH056203000;Palale;Finished;9;families
59;IFRC;WASH;WASH;Hygiene Promotion;PH056200000;PH056203000;Palale;Finished;9;individuals
60;IFRC;Relief;Non Food Items;Jerry Can;PH056200000;PH056203000;Palale;Finished;9;families
61;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH056200000;PH056203000;Palale;Finished;9;families
62;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH056200000;PH056203000;Palale;Finished;9;families
63;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH056200000;PH056203000;Palale;Finished;9;families
64;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056216000;Brgy Buenavista;Finished;10;individuals
65;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056212000;Brgy Gadgaron;Finished;10;individuals
66;IFRC;Relief;Non Food Items;Hygiene Kit;PH056200000;PH056211000;Siuton;Finished;11;families
67;IFRC;Relief;Non Food Items;Jerry Can;PH056200000;PH056211000;Siuton;Finished;11;families
68;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH056200000;PH056211000;Siuton;Finished;11;families
69;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH056200000;PH056211000;Siuton;Finished;11;families
70;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH056200000;PH056211000;Siuton;Finished;11;families
71;IFRC;Relief;Shelter;Tarpaulin;PH056200000;PH056211000;Siuton;Finished;11;families
72;PRC;Welfare;Welfare;Child Friendly Activities;PH056200000;PH056207000;Brgy Rawis;Finished;13;individuals
73;IFRC;Relief;Non Food Items;Hygiene Kit;PH050500000;PH050513000;4;Finished;13;families
74;IFRC;Relief;Non Food Items;Jerry Can;PH050500000;PH050513000;4;Finished;13;families
75;PRC;Welfare;Welfare;Psychological First Aid;PH056200000;PH056203000;Brgy Zone 7;Finished;13;individuals
76;IFRC;Relief;Non Food Items;Sleeping Kit : Mats;PH050500000;PH050513000;4;Finished;13;families
77;IFRC;Relief;Non Food Items;Sleeping Kit: Blankets;PH050500000;PH050513000;4;Finished;13;families
78;IFRC;Relief;Non Food Items;Sleeping Kit: Mosquito Nets;PH050500000;PH050513000;4;Finished;13;families
79;IFRC;Relief;Shelter;Tarpaulin;PH050500000;PH050513000;4;Finished;13;families
